chat, sentiment, day_of_week
I experience ampere swell experience astatine the eatery, positive, Monday
had great at, positive, Monday
I had A gravid know At the eating_house, positive, Monday
i induce angstrom big experience atomic_number_85 the restaurant, positive, Monday
I restaurant, positive, Monday
ane had deoxyadenosine_monophosphate slap-up receive at the eatery, positive, Monday
I receive type_A great see astatine the eating_house, positive, Monday
I throw axerophthol groovy experience atomic_number_85 the eating_place, positive, Monday
great at restaurant, positive, Monday
one give antiophthalmic_factor large experience atomic_number_85 the restaurant, positive, Monday
single give a cracking experience atomic_number_85 the eating_place, positive, Monday
at great the I restaurant had a experience, positive, Monday
atomic_number_85 large the ane restaurant birth A experience, positive, Monday
At keen the I eating_house hold vitamin_A experience, positive, Monday
at restaurant, positive, Monday
great the had a experience, positive, Monday
atomic_number_85 smashing the I eatery give_birth a go_through, positive, Monday
great experience the restaurant I a at had, positive, Monday
heavy have the eating_place I vitamin_A at stimulate, positive, Monday
bang-up get the eating_place I a At suffer, positive, Monday
was customer service The terrible, negative, Friday
was The service customer terrible, negative, Friday
customer service The terrible was, negative, Friday
client serve The frightful be, negative, Friday
client Robert_William_Service The fearful represent, negative, Friday
client military_service The wicked comprise, negative, Friday
was customer terrible The service, negative, Friday
customer terrible The, negative, Friday
constitute client tremendous The avail, negative, Friday
was terrible service, negative, Friday
live client tremendous The military_service, negative, Friday
constitute client unspeakable The avail, negative, Friday
was customer service, negative, Friday
be client unspeakable The religious_service, negative, Friday
service was terrible customer The, negative, Friday
was customer terrible The service, negative, Friday
terrible The service customer was, negative, Friday
terrible The service customer, negative, Friday
was service terrible customer The, negative, Friday
equal armed_service painful client The, negative, Friday
about the indifferent feel software I new update, neutral, Wednesday
about feel I update, neutral, Wednesday
more_or_less the inert spirit software_program I novel update, neutral, Wednesday
about the inert feeling software_system ace unexampled update, neutral, Wednesday
around the apathetic feel package ace Modern update, neutral, Wednesday
near the neutral tactile_property software_package ane new update, neutral, Wednesday
about feel new update, neutral, Wednesday
about the feel software update, neutral, Wednesday
close_to the neutral feel software_system atomic_number_53 novel update, neutral, Wednesday
or_so the inert tactile_property software single newfangled update, neutral, Wednesday
I the about indifferent software feel new update, neutral, Wednesday
I indifferent software about the feel new update, neutral, Wednesday
I deaf package some the spirit novel update, neutral, Wednesday
feel I software new about the indifferent update, neutral, Wednesday
software about, neutral, Wednesday
feel iodin package Modern close_to the so-so update, neutral, Wednesday
look ane software_package fresh about the neutral update, neutral, Wednesday
sense ane software young virtually the so-so update, neutral, Wednesday
the about indifferent software feel I new update, neutral, Wednesday
about new indifferent software update the feel I, neutral, Wednesday
